company,quarter,Event ID,market,date,type,l,r,w,c,sector,date_ticker,total debt,equity,DERatio,ebitda,ebit,eps,NI,Asset,ROA,MV,BV,PB,shares,total debt_diff,equity_diff,DERatio_diff,ebitda_diff,ebit_diff,eps_diff,NI_diff,Asset_diff,ROA_diff,MV_diff,BV_diff,PB_diff,shares_diff
SIVB,4/1/21,400,NYK,4/14/21,fraud,-2,2,-4,6,banking,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIVB,4/1/21,405,NYK,4/12/21,fraud,-2,2,-4,6,banking,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIVB,4/1/21,406,NYK,4/14/21,fraud,-2,2,-4,6,banking,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIVB,4/1/21,407,NYK,4/13/21,fraud,-2,2,-4,6,banking,,,,,,,,,,,,,,,,,,,,,,,,,,,
THG,4/1/21,413,NYK,4/14/21,fraud,-2,2,-4,6,insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,
THG,4/1/21,415,NYK,4/12/21,fraud,-2,2,-4,6,insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,
THG,4/1/21,416,NYK,4/13/21,fraud,-2,2,-4,6,insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMPQ,7/1/15,429,NYK,7/21/15,fraud,-2,2,-4,6,banking,9/30/15,19.33,3.84,5.04,,,0.26,0.21,23.16,0.0093,12.81,17.42,0.74,221,0.34,0.04,0.05,,,0.01,0,0.37,-0.0001,-1.19,0.15,-0.07,0
UMPQ,4/1/21,420,NYK,4/14/21,fraud,-2,2,-4,6,banking,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMPQ,4/1/21,425,NYK,4/13/21,fraud,-2,2,-4,6,banking,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMPQ,4/1/21,428,NYK,4/14/21,fraud,-2,2,-4,6,banking,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNM,4/1/21,431,NYK,4/14/21,fraud,-2,2,-4,6,insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNM,4/1/21,432,NYK,4/14/21,fraud,-2,2,-4,6,insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNM,4/1/21,435,NYK,4/13/21,fraud,-2,2,-4,6,insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,
USB,1/1/21,446,NYK,3/22/21,fraud,-2,2,-4,6,banking,,,,,,,,,,,,,,,,,,,,,,,,,,,
USB,1/1/21,448,NYK,3/4/21,fraud,-2,2,-4,6,banking,,,,,,,,,,,,,,,,,,,,,,,,,,,
USB,4/1/21,440,NYK,4/7/21,fraud,-2,2,-4,6,banking,,,,,,,,,,,,,,,,,,,,,,,,,,,
USB,4/1/21,444,NYK,4/9/21,fraud,-2,2,-4,6,banking,,,,,,,,,,,,,,,,,,,,,,,,,,,
WFC,1/1/21,465,NYK,3/22/21,fraud,-2,2,-4,6,banking,,,,,,,,,,,,,,,,,,,,,,,,,,,
WFC,4/1/21,463,NYK,4/13/21,fraud,-2,2,-4,6,banking,,,,,,,,,,,,,,,,,,,,,,,,,,,
WRB,1/1/19,477,NYK,2/4/19,fraud,-2,2,-4,6,insurance,3/31/19,19.78,5.8,3.41,298,270,0.94,0.66,25.59,0.0262,54.67,31.71,1.72,193,0.36,0.32,-0.13,40,67,0.25,0.02,0.69,0.0003,7.07,1.76,0.13,1
WRB,4/1/21,471,NYK,4/12/21,fraud,-2,2,-4,6,insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,
WRB,4/1/21,473,NYK,4/13/21,fraud,-2,2,-4,6,insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZION,4/1/21,481,NYK,4/14/21,fraud,-2,2,-4,6,banking,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZION,4/1/21,482,NYK,4/14/21,fraud,-2,2,-4,6,banking,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZION,4/1/21,484,NYK,4/12/21,fraud,-2,2,-4,6,banking,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZION,4/1/21,486,NYK,4/14/21,fraud,-2,2,-4,6,banking,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZION,4/1/21,487,NYK,4/13/21,fraud,-2,2,-4,6,banking,,,,,,,,,,,,,,,,,,,,,,,,,,,
